column
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.axial_displace_lower_shaft_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.descaling.pressure.on_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.descaling.ready_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.dr21.bfz01.sensor_point_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.ds.load_hor_roll.lower_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.ds.load_hor_roll.upper_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[median]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[min]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[std]
abs_BD_1_1_bd1.ds.load_vert_roll_[ni]_[-1_end]_[tg]
abs_BD_1_1_bd1.ds.pos_low_hor_roll_[ni]_[-1_end]_[max]
abs_BD_1_1_bd1.ds.pos_low_hor_roll_[ni]_[-1_end]_[mean]
abs_BD_1_1_bd1.ds.pos_low_hor_roll_[ni]_[-1_end]_[median]
