,feature,unique_vals
126,U0_u0.descaling.pressure.extrapolated_[i_103.0],451312
127,U0_u0.gr214_bt01_temp.extrapolated_[i_103.0],372173
128,U0_u0.ds.pos_low_hor_roll_[i_103.0],377625
129,U0_u0.os.pos_low_hor_roll_[i_103.0],374897
130,U0_u0.ds.pos_up_hor_roll_[i_103.0],376138
131,U0_u0.os.pos_up_hor_roll_[i_103.0],378300
132,U0_u0.ds.pos_vert_roll_in_[i_103.0],364829
133,U0_u0.ds.pos_vert_roll_out_[i_103.0],364312
134,U0_u0.os.pos_vert_roll_in_[i_103.0],346618
135,U0_u0.os.pos_vert_roll_out_[i_103.0],355331
136,U0_u0.load_hor_roll_[i_103.0],379737
137,U0_u0.os.load_hor_roll.lower_[i_103.0],371049
138,U0_u0.os.load_hor_roll.upper_[i_103.0],371174
139,U0_u0.ds.load_hor_roll.lower_[i_103.0],368244
140,U0_u0.ds.load_hor_roll.upper_[i_103.0],367664
141,U0_u0.os.load_vert_roll_[i_103.0],359420
142,U0_u0.ds.load_vert_roll_[i_103.0],368316
143,U0_u0.axial_displace_lower_shaft_[i_103.0],356408
144,U0_u0.ge211_2.ds.line_before.set_[i_103.0],77944
145,U0_u0.ge211_2.ds.line_before.act_[i_103.0],398263
146,U0_u0.ge211_1.ds.line_before.set_[i_103.0],77944
147,U0_u0.ge211_1.ds.line_before.act_[i_103.0],393266
148,U0_u0.ge212_2.os.line_before.set_[i_103.0],83334
149,U0_u0.ge212_2.os.line_before.act_[i_103.0],382035
150,U0_u0.ge212_1.os.line_before.set_[i_103.0],83334
151,U0_u0.ge212_1.os.line_before.act_[i_103.0],382109
152,U0_u0.gr212_1.ds.table_pos_before_[i_103.0],112340
153,U0_u0.gr212_2.os.table_pos_before_[i_103.0],116794
154,U0_u0.ge221.ds.line_after.act_[i_103.0],357153
155,U0_u0.ge222.os.line_after.act_[i_103.0],346214
156,U0_u0.gr232_2.ds.table_pos_after_[i_103.0],104366
157,U0_u0.gr232_2.os.table_pos_after_[i_103.0],92052
158,U0_u0.gr242_1.table_pos_after_[i_103.0],168330
159,U0_u0.gg225.cool_roll_[i_103.0],357664
160,U0_u0.speed_mps_[i_103.0],402555
161,U0_u0.torque_[i_103.0],368515
162,U0_u0.current_[i_103.0],349384
163,U0_u0.uf.speed_mps_[i_103.0],384297
164,U0_u0.uf.torque_[i_103.0],364720
165,U0_u0.uf.current_[i_103.0],346118
166,U0_u0.fest.load_hor_roll_[i_103.0],360338
167,abs_U0_u0.descaling.pressure.extrapolated_[i_103.0],451312
168,abs_U0_u0.gr214_bt01_temp.extrapolated_[i_103.0],372173
169,abs_U0_u0.ds.pos_low_hor_roll_[i_103.0],377625
170,abs_U0_u0.os.pos_low_hor_roll_[i_103.0],374897
171,abs_U0_u0.ds.pos_up_hor_roll_[i_103.0],376138
172,abs_U0_u0.os.pos_up_hor_roll_[i_103.0],378300
173,abs_U0_u0.ds.pos_vert_roll_in_[i_103.0],364829
174,abs_U0_u0.ds.pos_vert_roll_out_[i_103.0],364312
175,abs_U0_u0.os.pos_vert_roll_in_[i_103.0],346618
176,abs_U0_u0.os.pos_vert_roll_out_[i_103.0],355331
177,abs_U0_u0.load_hor_roll_[i_103.0],378109
178,abs_U0_u0.os.load_hor_roll.lower_[i_103.0],369411
179,abs_U0_u0.os.load_hor_roll.upper_[i_103.0],369474
180,abs_U0_u0.ds.load_hor_roll.lower_[i_103.0],367226
181,abs_U0_u0.ds.load_hor_roll.upper_[i_103.0],367116
182,abs_U0_u0.os.load_vert_roll_[i_103.0],358324
183,abs_U0_u0.ds.load_vert_roll_[i_103.0],367816
184,abs_U0_u0.axial_displace_lower_shaft_[i_103.0],356408
185,abs_U0_u0.ge211_2.ds.line_before.set_[i_103.0],77944
186,abs_U0_u0.ge211_2.ds.line_before.act_[i_103.0],398263
187,abs_U0_u0.ge211_1.ds.line_before.set_[i_103.0],77944
188,abs_U0_u0.ge211_1.ds.line_before.act_[i_103.0],393266
189,abs_U0_u0.ge212_2.os.line_before.set_[i_103.0],83334
190,abs_U0_u0.ge212_2.os.line_before.act_[i_103.0],382035
191,abs_U0_u0.ge212_1.os.line_before.set_[i_103.0],83334
192,abs_U0_u0.ge212_1.os.line_before.act_[i_103.0],382109
193,abs_U0_u0.gr212_1.ds.table_pos_before_[i_103.0],112340
194,abs_U0_u0.gr212_2.os.table_pos_before_[i_103.0],116794
195,abs_U0_u0.ge221.ds.line_after.act_[i_103.0],357153
196,abs_U0_u0.ge222.os.line_after.act_[i_103.0],346214
197,abs_U0_u0.gr232_2.ds.table_pos_after_[i_103.0],104366
